model,emotion_f1,visual_f1,space_f1,exact_match,mean_f1,emotion_f1_std,visual_f1_std,space_f1_std
EfficientNetV2-S,0.6056403931007692,0.5587221649934063,0.5763882071107863,0.2178258328462887,0.5802502550683206,0.06480600527080173,0.06662812791056252,0.04661149316589461
ConvNeXt-Tiny,0.6236963609823521,0.6024225905877062,0.5490641753666086,0.25856224430157804,0.591727708978889,0.05967255018427089,0.09844671350563838,0.035537624503491266
ResNet50,0.5831519197052233,0.6106398846253402,0.5405608752130149,0.255406195207481,0.5781175598478594,0.03163460409525161,0.052821755509963916,0.05670126165589264
